price,nox,rooms,stratio
50001,4.01,7.92,13.6
32199,4,7.09,15.3
22000,3.89,6.45,15.3
20100,3.85,6.23,18.2
23200,4.05,6.21,16.6
22299,4.05,6.31,16.6
24800,4.05,6.56,16.6
28501,4.11,6.86,19.2
37298,4.11,7.15,19.2
27901,4.11,6.63,19.2
23899,4.37,6.13,16
21700,4.37,6.01,16
28601,4.37,6.68,16
27100,4.37,6.55,16
20300,4.37,5.79,16
22501,4,6.34,14.8
29001,4,7.04,14.8
24800,4,6.87,14.8
22000,4.33,6.59,16.1
26399,4.33,6.49,16.1
33100,4.72,6.98,16.1
36098,4.72,7.24,18.4
28399,4.72,6.62,18.4
33400,4.72,7.42,18.4
28201,4.72,6.85,18.4
22800,5.44,6.63,18.4
20300,5.44,5.97,18.4
16100,5.44,4.97,18.4
22099,5.44,6.12,18.4
19400,5.44,6.02,18.4
21600,5.44,6.27,18.4
23799,5.44,6.57,18.4
16200,5.44,5.7,18.4
17800,5.44,5.91,18.4
19800,5.44,5.78,18.4
23100,5.44,6.38,18.4
21000,5.44,6.11,18.4
23799,4.93,6.43,19.6
23100,4.93,6.38,19.6
20400,4.93,6.04,19.6
18500,4.93,5.71,19.6
24999,4.93,6.41,19.6
24600,4.93,6.43,19.6
23001,4.93,6.31,19.6
22199,4.93,6.08,19.6
19300,4.6,5.87,16.9
22600,4.6,6.33,16.9
19800,4.6,6.14,16.9
17100,4.38,5.71,16.9
19400,4.38,6.03,16.9
22199,5.15,6.32,20.2
20700,5.15,6.31,20.2
21100,5.15,6.04,20.2
19500,5.15,5.87,20.2
18500,5.15,5.89,20.2
20548,5.15,6.06,20.2
19000,5.15,5.98,20.2
18700,5.15,5.97,20.2
32778,4.42,7.24,15.5
16500,5.18,6.54,15.9
23899,4.84,6.7,17.6
31201,4.84,6.87,17.6
17500,4.42,6.01,18.8
17200,4.42,5.9,18.8
23100,4.29,6.52,17.9
24499,4.35,6.63,17
26601,4.29,6.94,19.7
22900,4.29,6.49,19.7
24101,4.11,6.58,18.3
18600,4.11,5.88,18.3
30101,4.1,6.73,17
18200,4.13,5.66,22
20600,4.13,5.94,22
17794,7.7,6.21,20.2
21700,7.7,6.39,20.2
22700,7.7,6.13,20.2
22600,7.7,6.11,20.2
24999,7.7,6.4,20.2
19900,7.7,6.25,20.2
20800,7.7,5.36,20.2
16800,7.7,5.8,20.2
21900,7.18,8.78,20.2
27499,7.18,3.56,20.2
21900,7.18,4.96,20.2
23100,6.31,3.86,20.2
50001,6.31,4.97,20.2
50001,6.31,6.68,20.2
50001,6.31,7.02,20.2
50001,6.31,6.22,20.2
50001,6.68,5.87,20.2
13800,6.68,4.91,20.2
13800,6.68,4.14,20.2
15000,6.71,7.31,20.2
13900,6.71,6.65,20.2
13300,6.71,6.79,20.2
13100,6.71,6.38,20.2
10200,6.71,6.22,20.2
10400,6.71,6.97,20.2
10900,6.71,6.54,20.2
11300,7,5.54,20.2
12300,7,5.52,20.2
8800,7,4.37,20.2
7200,7,5.28,20.2
10500,7,4.65,20.2
7400,7,5,20.2
10200,7,4.88,20.2
11500,7,5.39,20.2
15100,7,5.71,20.2
23200,7,6.05,20.2
9700,7,5.04,20.2
13800,6.93,6.19,20.2
12700,6.93,5.89,20.2
13100,6.93,6.47,20.2
12500,6.93,6.4,20.2
8500,6.93,5.75,20.2
5000,6.93,5.45,20.2
6300,6.93,5.85,20.2
5600,6.93,5.99,20.2
7200,6.93,6.34,20.2
12100,6.93,6.4,20.2
8300,6.93,5.35,20.2
8500,6.93,5.53,20.2
5000,6.93,5.68,20.2
11900,6.59,4.14,20.2
27901,6.59,5.61,20.2
17200,5.97,5.62,20.2
27499,5.97,6.85,20.2
15000,5.97,5.76,20.2
17200,5.97,6.66,20.2
17900,5.97,4.63,20.2
16300,5.97,5.15,20.2
7012,6.93,4.52,20.2
7200,6.79,6.43,20.2
7500,6.79,6.78,20.2
10400,6.79,5.3,20.2
8800,6.79,5.96,20.2
8400,7.18,6.82,20.2
16700,7.18,6.41,20.2
14200,7.18,6.01,20.2
20800,6.14,5.65,20.2
13400,6.14,6.1,20.2
11700,5.84,5.56,20.2
8300,6.79,5.9,20.2
10200,5.84,5.84,20.2
10900,6.79,6.2,20.2
11000,6.79,6.19,20.2
9500,6.79,6.38,20.2
14500,5.84,6.35,20.2
14100,5.84,6.83,20.2
16100,5.84,6.42,20.2
14300,7.13,6.44,20.2
11700,7.13,6.21,20.2
13400,7.4,6.63,20.2
9600,7.4,6.46,20.2
8700,7.4,6.15,20.2
8400,7.4,5.93,20.2
12800,7.4,5.63,20.2
10500,7.4,5.82,20.2
17100,7.4,6.41,20.2
18400,7.4,6.22,20.2
15400,7.4,6.48,20.2
10800,7.4,5.85,20.2
11800,7.4,6.46,20.2
14900,7.4,6.34,20.2
12600,7.4,6.25,20.2
14100,7.13,6.18,20.2
13000,7.13,6.42,20.2
13400,7.13,6.75,20.2
15200,7.13,6.65,20.2
16100,7.13,6.3,20.2
17794,7.13,7.39,20.2
14900,7.13,6.73,20.2
14100,7.13,6.52,20.2
12700,7.13,5.98,20.2
13500,7.13,5.94,20.2
14900,7.13,6.3,20.2
20000,7.13,6.08,20.2
16400,7.13,6.7,20.2
17700,7.13,6.37,20.2
19500,7.13,6.32,20.2
20200,7.13,6.51,20.2
21400,6.55,6.21,20.2
19900,6.55,5.76,20.2
19000,6.55,5.95,20.2
19100,5.84,6,20.2
17052,5.8,5.93,20.2
20100,5.8,5.71,20.2
19900,5.8,6.17,20.2
19600,5.32,6.23,20.2
23200,5.8,6.44,20.2
29801,6.14,6.98,20.2
13800,5.84,5.43,20.2
13300,5.84,6.16,20.2
16700,6.14,6.48,20.2
12000,6.14,5.3,20.2
14600,6.14,6.18,20.2
21400,6.14,6.23,20.2
23001,5.32,6.24,20.2
23699,5.32,6.75,20.2
24999,5.32,7.06,20.2
21800,5.32,5.76,20.2
20600,5.83,5.87,20.2
21200,5.83,6.31,20.2
19100,5.83,6.11,20.2
20600,5.83,5.9,20.2
15200,6.09,5.45,20.1
7000,6.09,5.41,20.1
8100,6.09,5.09,20.1
13600,6.09,5.98,20.1
20100,6.09,5.98,20.1
21800,5.85,5.71,19.2
24499,5.85,5.93,19.2
23100,5.85,5.67,19.2
19700,5.85,5.39,19.2
18300,5.85,5.79,19.2
21200,5.85,6.02,19.2
17500,5.85,5.57,19.2
16800,5.85,6.03,19.2
22400,5.73,6.59,21
20600,5.73,6.12,21
23899,5.73,6.98,21
22000,5.73,6.79,21
11900,5.73,6.03,21
